id;start_time;end_time;is_returned
1;2023-06-07T15:51:25;2023-06-08T05:48:45;false
2;2023-06-08T06:22:29;2023-06-07T19:29:26;true
3;2023-06-07T13:01:40;2023-06-07T09:57:27;false
4;2023-06-07T14:52:58;2023-06-07T17:04:12;true
5;2023-06-07T17:10:11;2023-06-07T14:34:43;true
6;2023-06-07T18:41:38;2023-06-07T17:29:44;false
7;2023-06-07T18:17:22;2023-06-08T05:18:39;false
8;2023-06-07T10:24:46;2023-06-07T18:39:19;true
9;2023-06-08T05:15:59;2023-06-07T12:52:43;false
10;2023-06-08T04:25:55;2023-06-07T17:02:47;false
